contract_id,equipment_id,region,country,contract_type,contract_start,contract_end,status,annual_value_eur
CON000001,EQ00001,Greater China,China,Full Maintenance,2020-05-01,2021-05-01,Renewed,4869.0
CON000002,EQ00001,Greater China,China,Full Maintenance,2021-05-01,2022-05-01,Renewed,4869.0
CON000003,EQ00001,Greater China,China,Full Maintenance,2022-05-01,2023-05-01,Renewed,4869.0
CON000004,EQ00002,APMEA,Saudi Arabia,Full Maintenance,2021-03-01,2022-03-01,Renewed,5556.0
CON000005,EQ00002,APMEA,Saudi Arabia,Full Maintenance,2022-03-01,2023-03-01,Cancelled,5556.0
CON000006,EQ00003,Americas,Brazil,Full Maintenance,2020-05-01,2021-05-01,Renewed,3917.0
CON000007,EQ00003,Americas,Brazil,Full Maintenance,2021-05-01,2022-05-01,Renewed,3917.0
CON000008,EQ00003,Americas,Brazil,Full Maintenance,2022-05-01,2023-05-01,Renewed,3917.0
CON000009,EQ00005,Greater China,China,Basic Maintenance,2020-11-01,2021-11-01,Renewed,2413.0
CON000010,EQ00005,Greater China,China,Basic Maintenance,2021-11-01,2022-11-01,Renewed,2413.0
CON000011,EQ00005,Greater China,China,Basic Maintenance,2022-11-01,2023-11-01,Renewed,2413.0
CON000012,EQ00006,Greater China,China,Full Maintenance,2020-11-01,2021-11-01,Renewed,4425.0
CON000013,EQ00006,Greater China,China,Full Maintenance,2021-11-01,2022-11-01,Renewed,4425.0
CON000014,EQ00006,Greater China,China,Full Maintenance,2022-11-01,2023-11-01,Renewed,4425.0
CON000015,EQ00007,Greater China,China,Full Maintenance,2023-10-01,2024-10-01,Renewed,4395.0
CON000016,EQ00007,Greater China,China,Full Maintenance,2024-10-01,2025-10-01,Renewed,4395.0
CON000017,EQ00007,Greater China,China,Full Maintenance,2025-10-01,2026-10-01,Active,4395.0
CON000018,EQ00008,APMEA,Saudi Arabia,Full Maintenance,2020-12-01,2021-12-01,Renewed,4611.0
CON000019,EQ00008,APMEA,Saudi Arabia,Full Maintenance,2021-12-01,2022-12-01,Renewed,4611.0
CON000020,EQ00008,APMEA,Saudi Arabia,Full Maintenance,2022-12-01,2023-12-01,Renewed,4611.0
CON000021,EQ00009,Europe,Poland,Basic Maintenance,2020-08-01,2021-08-01,Renewed,1897.0
CON000022,EQ00009,Europe,Poland,Basic Maintenance,2021-08-01,2022-08-01,Renewed,1897.0
CON000023,EQ00009,Europe,Poland,Basic Maintenance,2022-08-01,2023-08-01,Renewed,1897.0
CON000024,EQ00010,Americas,Mexico,Full Maintenance,2021-05-01,2022-05-01,Renewed,5770.0
CON000025,EQ00010,Americas,Mexico,Full Maintenance,2022-05-01,2023-05-01,Renewed,5770.0
CON000026,EQ00010,Americas,Mexico,Full Maintenance,2023-05-01,2024-05-01,Renewed,5770.0
CON000027,EQ00011,Greater China,China,Full Maintenance,2021-10-01,2022-10-01,Renewed,3517.0
CON000028,EQ00011,Greater China,China,Full Maintenance,2022-10-01,2023-10-01,Renewed,3517.0
CON000029,EQ00011,Greater China,China,Full Maintenance,2023-10-01,2024-10-01,Renewed,3517.0
CON000030,EQ00012,APMEA,Australia,Full Maintenance,2021-06-01,2022-06-01,Renewed,5353.0
CON000031,EQ00012,APMEA,Australia,Full Maintenance,2022-06-01,2023-06-01,Renewed,5353.0
CON000032,EQ00012,APMEA,Australia,Full Maintenance,2023-06-01,2024-06-01,Renewed,5353.0
CON000033,EQ00013,Americas,Mexico,Basic Maintenance,2023-07-01,2024-07-01,Renewed,2834.0
CON000034,EQ00013,Americas,Mexico,Basic Maintenance,2024-07-01,2025-07-01,Renewed,2834.0
CON000035,EQ00013,Americas,Mexico,Basic Maintenance,2025-07-01,2026-07-01,Active,2834.0
CON000036,EQ00014,Greater China,China,Full Maintenance,2022-12-01,2023-12-01,Renewed,5716.0
CON000037,EQ00014,Greater China,China,Full Maintenance,2023-12-01,2024-12-01,Renewed,5716.0
CON000038,EQ00014,Greater China,China,Full Maintenance,2024-12-01,2025-12-01,Renewed,5716.0
CON000039,EQ00015,Greater China,China,Basic Maintenance,2023-08-01,2024-08-01,Renewed,2199.0
CON000040,EQ00015,Greater China,China,Basic Maintenance,2024-08-01,2025-08-01,Renewed,2199.0
CON000041,EQ00015,Greater China,China,Basic Maintenance,2025-08-01,2026-08-01,Active,2199.0
CON000042,EQ00016,Greater China,China,Full Maintenance,2020-11-01,2021-11-01,Renewed,3540.0
CON000043,EQ00016,Greater China,China,Full Maintenance,2021-11-01,2022-11-01,Renewed,3540.0
CON000044,EQ00016,Greater China,China,Full Maintenance,2022-11-01,2023-11-01,Renewed,3540.0
CON000045,EQ00017,Greater China,China,Full Maintenance,2021-01-01,2022-01-01,Renewed,5940.0
CON000046,EQ00017,Greater China,China,Full Maintenance,2022-01-01,2023-01-01,Renewed,5940.0
CON000047,EQ00017,Greater China,China,Full Maintenance,2023-01-01,2024-01-01,Cancelled,5940.0
CON000048,EQ00018,Europe,Poland,Full Maintenance,2023-11-01,2024-11-01,Renewed,4409.0
CON000049,EQ00018,Europe,Poland,Full Maintenance,2024-11-01,2025-11-01,Renewed,4409.0
CON000050,EQ00018,Europe,Poland,Full Maintenance,2025-11-01,2026-11-01,Active,4409.0
CON000051,EQ00019,Europe,Germany,Full Maintenance,2022-08-01,2023-08-01,Renewed,5246.0
CON000052,EQ00019,Europe,Germany,Full Maintenance,2023-08-01,2024-08-01,Renewed,5246.0
CON000053,EQ00019,Europe,Germany,Full Maintenance,2024-08-01,2025-08-01,Renewed,5246.0
CON000054,EQ00020,Greater China,China,Full Maintenance,2023-05-01,2024-05-01,Renewed,4925.0
CON000055,EQ00020,Greater China,China,Full Maintenance,2024-05-01,2025-05-01,Renewed,4925.0
CON000056,EQ00020,Greater China,China,Full Maintenance,2025-05-01,2026-05-01,Renewed,4925.0
CON000057,EQ00021,Europe,Finland,Full Maintenance,2023-06-01,2024-06-01,Renewed,6481.0
CON000058,EQ00021,Europe,Finland,Full Maintenance,2024-06-01,2025-06-01,Cancelled,6481.0
CON000059,EQ00022,Greater China,China,Full Maintenance,2022-03-01,2023-03-01,Renewed,5110.0
CON000060,EQ00022,Greater China,China,Full Maintenance,2023-03-01,2024-03-01,Renewed,5110.0
CON000061,EQ00022,Greater China,China,Full Maintenance,2024-03-01,2025-03-01,Renewed,5110.0
CON000062,EQ00023,Greater China,China,Full Maintenance,2023-06-01,2024-06-01,Renewed,5313.0
CON000063,EQ00023,Greater China,China,Full Maintenance,2024-06-01,2025-06-01,Renewed,5313.0
CON000064,EQ00023,Greater China,China,Full Maintenance,2025-06-01,2026-06-01,Active,5313.0
CON000065,EQ00024,Greater China,China,Full Maintenance,2020-03-01,2021-03-01,Renewed,5164.0
CON000066,EQ00024,Greater China,China,Full Maintenance,2021-03-01,2022-03-01,Renewed,5164.0
CON000067,EQ00024,Greater China,China,Full Maintenance,2022-03-01,2023-03-01,Cancelled,5164.0
CON000068,EQ00026,Americas,Canada,Full Maintenance,2022-08-01,2023-08-01,Renewed,5399.0
CON000069,EQ00026,Americas,Canada,Full Maintenance,2023-08-01,2024-08-01,Renewed,5399.0
CON000070,EQ00026,Americas,Canada,Full Maintenance,2024-08-01,2025-08-01,Renewed,5399.0
CON000071,EQ00027,Greater China,China,Basic Maintenance,2020-04-01,2021-04-01,Renewed,3423.0
CON000072,EQ00027,Greater China,China,Basic Maintenance,2021-04-01,2022-04-01,Renewed,3423.0
CON000073,EQ00027,Greater China,China,Basic Maintenance,2022-04-01,2023-04-01,Renewed,3423.0
CON000074,EQ00028,Europe,Netherlands,Full Maintenance,2022-04-01,2023-04-01,Renewed,4730.0
CON000075,EQ00028,Europe,Netherlands,Full Maintenance,2023-04-01,2024-04-01,Renewed,4730.0
CON000076,EQ00028,Europe,Netherlands,Full Maintenance,2024-04-01,2025-04-01,Renewed,4730.0
CON000077,EQ00029,Europe,Finland,Full Maintenance,2021-04-01,2022-04-01,Renewed,4722.0
CON000078,EQ00029,Europe,Finland,Full Maintenance,2022-04-01,2023-04-01,Renewed,4722.0
CON000079,EQ00029,Europe,Finland,Full Maintenance,2023-04-01,2024-04-01,Renewed,4722.0
CON000080,EQ00030,Greater China,China,Full Maintenance,2020-07-01,2021-07-01,Renewed,5072.0
CON000081,EQ00030,Greater China,China,Full Maintenance,2021-07-01,2022-07-01,Renewed,5072.0
CON000082,EQ00030,Greater China,China,Full Maintenance,2022-07-01,2023-07-01,Renewed,5072.0
CON000083,EQ00031,Europe,Sweden,Full Maintenance,2022-07-01,2023-07-01,Renewed,5708.0
CON000084,EQ00031,Europe,Sweden,Full Maintenance,2023-07-01,2024-07-01,Renewed,5708.0
CON000085,EQ00031,Europe,Sweden,Full Maintenance,2024-07-01,2025-07-01,Cancelled,5708.0
CON000086,EQ00032,Greater China,China,Full Maintenance,2020-09-01,2021-09-01,Renewed,4137.0
CON000087,EQ00032,Greater China,China,Full Maintenance,2021-09-01,2022-09-01,Cancelled,4137.0
CON000088,EQ00033,Greater China,China,Full Maintenance,2021-07-01,2022-07-01,Renewed,5107.0
CON000089,EQ00033,Greater China,China,Full Maintenance,2022-07-01,2023-07-01,Renewed,5107.0
CON000090,EQ00033,Greater China,China,Full Maintenance,2023-07-01,2024-07-01,Renewed,5107.0
CON000091,EQ00034,APMEA,Saudi Arabia,Basic Maintenance,2021-12-01,2022-12-01,Renewed,548.0
CON000092,EQ00034,APMEA,Saudi Arabia,Basic Maintenance,2022-12-01,2023-12-01,Renewed,548.0
CON000093,EQ00034,APMEA,Saudi Arabia,Basic Maintenance,2023-12-01,2024-12-01,Renewed,548.0
CON000094,EQ00035,APMEA,UAE,Full Maintenance,2021-06-01,2022-06-01,Renewed,4663.0
CON000095,EQ00035,APMEA,UAE,Full Maintenance,2022-06-01,2023-06-01,Renewed,4663.0
CON000096,EQ00035,APMEA,UAE,Full Maintenance,2023-06-01,2024-06-01,Cancelled,4663.0
CON000097,EQ00036,Americas,Mexico,Full Maintenance,2021-04-01,2022-04-01,Renewed,5065.0
CON000098,EQ00036,Americas,Mexico,Full Maintenance,2022-04-01,2023-04-01,Renewed,5065.0
CON000099,EQ00036,Americas,Mexico,Full Maintenance,2023-04-01,2024-04-01,Renewed,5065.0
CON000100,EQ00037,Greater China,China,Full Maintenance,2023-12-01,2024-12-01,Renewed,4454.0
CON000101,EQ00037,Greater China,China,Full Maintenance,2024-12-01,2025-12-01,Renewed,4454.0
CON000102,EQ00037,Greater China,China,Full Maintenance,2025-12-01,2026-12-01,Active,4454.0
CON000103,EQ00038,Greater China,China,Basic Maintenance,2022-01-01,2023-01-01,Renewed,3011.0
CON000104,EQ00038,Greater China,China,Basic Maintenance,2023-01-01,2024-01-01,Renewed,3011.0
CON000105,EQ00038,Greater China,China,Basic Maintenance,2024-01-01,2025-01-01,Renewed,3011.0
CON000106,EQ00039,Americas,Canada,Basic Maintenance,2023-08-01,2024-08-01,Renewed,2673.0
CON000107,EQ00039,Americas,Canada,Basic Maintenance,2024-08-01,2025-08-01,Renewed,2673.0
CON000108,EQ00039,Americas,Canada,Basic Maintenance,2025-08-01,2026-08-01,Active,2673.0
CON000109,EQ00040,Europe,Germany,Full Maintenance,2021-08-01,2022-08-01,Renewed,4668.0
CON000110,EQ00040,Europe,Germany,Full Maintenance,2022-08-01,2023-08-01,Renewed,4668.0
CON000111,EQ00040,Europe,Germany,Full Maintenance,2023-08-01,2024-08-01,Renewed,4668.0
CON000112,EQ00041,Greater China,China,Full Maintenance,2023-08-01,2024-08-01,Renewed,4897.0
CON000113,EQ00041,Greater China,China,Full Maintenance,2024-08-01,2025-08-01,Renewed,4897.0
CON000114,EQ00041,Greater China,China,Full Maintenance,2025-08-01,2026-08-01,Active,4897.0
CON000115,EQ00042,Europe,France,Full Maintenance,2022-09-01,2023-09-01,Renewed,3821.0
CON000116,EQ00042,Europe,France,Full Maintenance,2023-09-01,2024-09-01,Renewed,3821.0
CON000117,EQ00042,Europe,France,Full Maintenance,2024-09-01,2025-09-01,Renewed,3821.0
CON000118,EQ00043,Greater China,China,Full Maintenance,2020-05-01,2021-05-01,Renewed,4407.0
CON000119,EQ00043,Greater China,China,Full Maintenance,2021-05-01,2022-05-01,Renewed,4407.0
CON000120,EQ00043,Greater China,China,Full Maintenance,2022-05-01,2023-05-01,Renewed,4407.0
CON000121,EQ00044,APMEA,India,Basic Maintenance,2022-07-01,2023-07-01,Renewed,2590.0
CON000122,EQ00044,APMEA,India,Basic Maintenance,2023-07-01,2024-07-01,Renewed,2590.0
CON000123,EQ00044,APMEA,India,Basic Maintenance,2024-07-01,2025-07-01,Renewed,2590.0
CON000124,EQ00045,Greater China,China,Basic Maintenance,2023-10-01,2024-10-01,Renewed,3448.0
CON000125,EQ00045,Greater China,China,Basic Maintenance,2024-10-01,2025-10-01,Renewed,3448.0
CON000126,EQ00045,Greater China,China,Basic Maintenance,2025-10-01,2026-10-01,Cancelled,3448.0
CON000127,EQ00046,Americas,USA,Full Maintenance,2022-05-01,2023-05-01,Renewed,6110.0
CON000128,EQ00046,Americas,USA,Full Maintenance,2023-05-01,2024-05-01,Renewed,6110.0
CON000129,EQ00046,Americas,USA,Full Maintenance,2024-05-01,2025-05-01,Renewed,6110.0
CON000130,EQ00047,Greater China,China,Full Maintenance,2022-12-01,2023-12-01,Renewed,4476.0
CON000131,EQ00047,Greater China,China,Full Maintenance,2023-12-01,2024-12-01,Renewed,4476.0
CON000132,EQ00047,Greater China,China,Full Maintenance,2024-12-01,2025-12-01,Renewed,4476.0
CON000133,EQ00048,Europe,Netherlands,Basic Maintenance,2022-02-01,2023-02-01,Renewed,3416.0
CON000134,EQ00048,Europe,Netherlands,Basic Maintenance,2023-02-01,2024-02-01,Renewed,3416.0
CON000135,EQ00048,Europe,Netherlands,Basic Maintenance,2024-02-01,2025-02-01,Renewed,3416.0
CON000136,EQ00049,Europe,Germany,Full Maintenance,2020-08-01,2021-08-01,Renewed,6409.0
CON000137,EQ00049,Europe,Germany,Full Maintenance,2021-08-01,2022-08-01,Renewed,6409.0
CON000138,EQ00049,Europe,Germany,Full Maintenance,2022-08-01,2023-08-01,Renewed,6409.0
CON000139,EQ00050,Greater China,China,Full Maintenance,2022-01-01,2023-01-01,Renewed,4119.0
CON000140,EQ00050,Greater China,China,Full Maintenance,2023-01-01,2024-01-01,Renewed,4119.0
CON000141,EQ00050,Greater China,China,Full Maintenance,2024-01-01,2025-01-01,Renewed,4119.0
CON000142,EQ00051,APMEA,India,Basic Maintenance,2022-10-01,2023-10-01,Renewed,1297.0
CON000143,EQ00051,APMEA,India,Basic Maintenance,2023-10-01,2024-10-01,Renewed,1297.0
CON000144,EQ00051,APMEA,India,Basic Maintenance,2024-10-01,2025-10-01,Renewed,1297.0
CON000145,EQ00052,Americas,Brazil,Full Maintenance,2023-04-01,2024-04-01,Renewed,5461.0
CON000146,EQ00052,Americas,Brazil,Full Maintenance,2024-04-01,2025-04-01,Renewed,5461.0
CON000147,EQ00052,Americas,Brazil,Full Maintenance,2025-04-01,2026-04-01,Renewed,5461.0
CON000148,EQ00053,APMEA,Australia,Full Maintenance,2021-05-01,2022-05-01,Renewed,6289.0
CON000149,EQ00053,APMEA,Australia,Full Maintenance,2022-05-01,2023-05-01,Renewed,6289.0
CON000150,EQ00053,APMEA,Australia,Full Maintenance,2023-05-01,2024-05-01,Renewed,6289.0
CON000151,EQ00054,APMEA,UAE,Full Maintenance,2023-10-01,2024-10-01,Renewed,3764.0
CON000152,EQ00054,APMEA,UAE,Full Maintenance,2024-10-01,2025-10-01,Renewed,3764.0
CON000153,EQ00054,APMEA,UAE,Full Maintenance,2025-10-01,2026-10-01,Cancelled,3764.0
CON000154,EQ00055,Europe,Netherlands,Basic Maintenance,2023-09-01,2024-09-01,Renewed,2858.0
CON000155,EQ00055,Europe,Netherlands,Basic Maintenance,2024-09-01,2025-09-01,Renewed,2858.0
CON000156,EQ00055,Europe,Netherlands,Basic Maintenance,2025-09-01,2026-09-01,Active,2858.0
CON000157,EQ00056,APMEA,South Korea,Full Maintenance,2022-07-01,2023-07-01,Renewed,4098.0
CON000158,EQ00056,APMEA,South Korea,Full Maintenance,2023-07-01,2024-07-01,Renewed,4098.0
CON000159,EQ00056,APMEA,South Korea,Full Maintenance,2024-07-01,2025-07-01,Renewed,4098.0
CON000160,EQ00058,Greater China,China,Basic Maintenance,2021-02-01,2022-02-01,Renewed,1561.0
CON000161,EQ00058,Greater China,China,Basic Maintenance,2022-02-01,2023-02-01,Renewed,1561.0
CON000162,EQ00058,Greater China,China,Basic Maintenance,2023-02-01,2024-02-01,Renewed,1561.0
CON000163,EQ00059,Greater China,China,Full Maintenance,2020-10-01,2021-10-01,Renewed,4179.0
CON000164,EQ00059,Greater China,China,Full Maintenance,2021-10-01,2022-10-01,Renewed,4179.0
CON000165,EQ00059,Greater China,China,Full Maintenance,2022-10-01,2023-10-01,Renewed,4179.0
CON000166,EQ00060,Greater China,China,Full Maintenance,2022-08-01,2023-08-01,Renewed,5827.0
CON000167,EQ00060,Greater China,China,Full Maintenance,2023-08-01,2024-08-01,Renewed,5827.0
CON000168,EQ00060,Greater China,China,Full Maintenance,2024-08-01,2025-08-01,Renewed,5827.0
CON000169,EQ00061,Greater China,China,Full Maintenance,2022-11-01,2023-11-01,Renewed,4696.0
CON000170,EQ00061,Greater China,China,Full Maintenance,2023-11-01,2024-11-01,Renewed,4696.0
CON000171,EQ00061,Greater China,China,Full Maintenance,2024-11-01,2025-11-01,Renewed,4696.0
CON000172,EQ00062,Greater China,China,Full Maintenance,2022-09-01,2023-09-01,Renewed,3934.0
CON000173,EQ00062,Greater China,China,Full Maintenance,2023-09-01,2024-09-01,Renewed,3934.0
CON000174,EQ00062,Greater China,China,Full Maintenance,2024-09-01,2025-09-01,Renewed,3934.0
CON000175,EQ00063,Americas,Canada,Basic Maintenance,2020-02-01,2021-02-01,Renewed,2554.0
CON000176,EQ00063,Americas,Canada,Basic Maintenance,2021-02-01,2022-02-01,Renewed,2554.0
CON000177,EQ00063,Americas,Canada,Basic Maintenance,2022-02-01,2023-02-01,Renewed,2554.0
CON000178,EQ00064,Greater China,China,Basic Maintenance,2022-03-01,2023-03-01,Renewed,3073.0
CON000179,EQ00064,Greater China,China,Basic Maintenance,2023-03-01,2024-03-01,Renewed,3073.0
CON000180,EQ00064,Greater China,China,Basic Maintenance,2024-03-01,2025-03-01,Renewed,3073.0
CON000181,EQ00065,Greater China,China,Full Maintenance,2020-04-01,2021-04-01,Renewed,5436.0
CON000182,EQ00065,Greater China,China,Full Maintenance,2021-04-01,2022-04-01,Renewed,5436.0
CON000183,EQ00065,Greater China,China,Full Maintenance,2022-04-01,2023-04-01,Renewed,5436.0
CON000184,EQ00066,Europe,Germany,Basic Maintenance,2023-05-01,2024-05-01,Renewed,1671.0
CON000185,EQ00066,Europe,Germany,Basic Maintenance,2024-05-01,2025-05-01,Renewed,1671.0
CON000186,EQ00066,Europe,Germany,Basic Maintenance,2025-05-01,2026-05-01,Renewed,1671.0
