equipment_id,region,country,equipment_type,building_type,installation_year,equipment_age,contract_type,is_connected_2023,is_connected_2024,is_connected_2025
EQ00001,Greater China,China,Autowalk,Residential,2017,8,Full Maintenance,True,True,False
EQ00002,APMEA,Saudi Arabia,Elevator,Residential,2005,20,Full Maintenance,False,True,False
EQ00003,Americas,Brazil,Elevator,Commercial,2023,2,Full Maintenance,True,True,False
EQ00004,Europe,France,Autowalk,Commercial,2023,2,Repair Only,False,False,True
EQ00005,Greater China,China,Elevator,Residential,2013,12,Basic Maintenance,False,False,False
EQ00006,Greater China,China,Automatic Door,Public / Transport,2022,3,Full Maintenance,False,False,False
EQ00007,Greater China,China,Elevator,Commercial,2017,8,Full Maintenance,True,False,True
EQ00008,APMEA,Saudi Arabia,Elevator,Residential,2011,14,Full Maintenance,False,True,False
EQ00009,Europe,Poland,Autowalk,Public / Transport,2000,25,Basic Maintenance,True,True,False
EQ00010,Americas,Mexico,Elevator,Commercial,2008,17,Full Maintenance,False,True,False
EQ00011,Greater China,China,Automatic Door,Commercial,2011,14,Full Maintenance,False,False,False
EQ00012,APMEA,Australia,Automatic Door,Residential,2020,5,Full Maintenance,True,False,False
EQ00013,Americas,Mexico,Elevator,Residential,2009,16,Basic Maintenance,False,True,False
EQ00014,Greater China,China,Elevator,Commercial,2021,4,Full Maintenance,False,True,False
EQ00015,Greater China,China,Elevator,Residential,2015,10,Basic Maintenance,False,True,False
EQ00016,Greater China,China,Elevator,Residential,1999,26,Full Maintenance,False,False,False
EQ00017,Greater China,China,Elevator,Residential,2024,1,Full Maintenance,False,True,True
EQ00018,Europe,Poland,Elevator,Commercial,2010,15,Full Maintenance,False,True,True
EQ00019,Europe,Germany,Elevator,Residential,2006,19,Full Maintenance,False,False,True
EQ00020,Greater China,China,Elevator,Public / Transport,2014,11,Full Maintenance,False,False,False
EQ00021,Europe,Finland,Automatic Door,Healthcare,1998,27,Full Maintenance,True,False,False
EQ00022,Greater China,China,Escalator,Public / Transport,2014,11,Full Maintenance,False,False,False
EQ00023,Greater China,China,Escalator,Residential,2009,16,Full Maintenance,False,False,False
EQ00024,Greater China,China,Elevator,Residential,2007,18,Full Maintenance,False,False,True
EQ00025,Europe,Sweden,Escalator,Residential,2023,2,Repair Only,False,False,False
EQ00026,Americas,Canada,Elevator,Commercial,2010,15,Full Maintenance,False,True,False
EQ00027,Greater China,China,Escalator,Commercial,2001,24,Basic Maintenance,False,False,True
EQ00028,Europe,Netherlands,Automatic Door,Industrial,2008,17,Full Maintenance,False,False,True
EQ00029,Europe,Finland,Elevator,Commercial,2022,3,Full Maintenance,True,True,False
EQ00030,Greater China,China,Escalator,Commercial,2000,25,Full Maintenance,False,False,True
EQ00031,Europe,Sweden,Escalator,Healthcare,2001,24,Full Maintenance,True,True,False
EQ00032,Greater China,China,Autowalk,Commercial,1995,30,Full Maintenance,True,False,True
EQ00033,Greater China,China,Escalator,Commercial,1995,30,Full Maintenance,False,False,False
EQ00034,APMEA,Saudi Arabia,Elevator,Commercial,2019,6,Basic Maintenance,False,True,True
EQ00035,APMEA,UAE,Elevator,Residential,2016,9,Full Maintenance,False,False,True
EQ00036,Americas,Mexico,Elevator,Residential,2005,20,Full Maintenance,False,False,False
EQ00037,Greater China,China,Escalator,Residential,2015,10,Full Maintenance,False,False,False
EQ00038,Greater China,China,Elevator,Residential,2006,19,Basic Maintenance,False,False,False
EQ00039,Americas,Canada,Autowalk,Public / Transport,2023,2,Basic Maintenance,False,True,True
EQ00040,Europe,Germany,Elevator,Public / Transport,2024,1,Full Maintenance,True,False,True
EQ00041,Greater China,China,Elevator,Healthcare,2006,19,Full Maintenance,True,False,False
EQ00042,Europe,France,Elevator,Public / Transport,2020,5,Full Maintenance,False,True,True
EQ00043,Greater China,China,Escalator,Residential,2018,7,Full Maintenance,False,False,True
EQ00044,APMEA,India,Elevator,Commercial,2004,21,Basic Maintenance,False,False,False
EQ00045,Greater China,China,Elevator,Commercial,2001,24,Basic Maintenance,False,False,True
EQ00046,Americas,USA,Elevator,Commercial,2008,17,Full Maintenance,False,True,True
EQ00047,Greater China,China,Elevator,Industrial,2018,7,Full Maintenance,True,False,True
EQ00048,Europe,Netherlands,Elevator,Public / Transport,2023,2,Basic Maintenance,True,False,False
EQ00049,Europe,Germany,Escalator,Residential,2017,8,Full Maintenance,False,False,True
EQ00050,Greater China,China,Elevator,Commercial,2020,5,Full Maintenance,False,True,False
EQ00051,APMEA,India,Elevator,Residential,2013,12,Basic Maintenance,True,False,True
EQ00052,Americas,Brazil,Escalator,Healthcare,2020,5,Full Maintenance,False,False,False
EQ00053,APMEA,Australia,Automatic Door,Residential,2018,7,Full Maintenance,False,True,True
EQ00054,APMEA,UAE,Elevator,Public / Transport,2006,19,Full Maintenance,False,False,False
EQ00055,Europe,Netherlands,Elevator,Public / Transport,2011,14,Basic Maintenance,True,False,False
EQ00056,APMEA,South Korea,Autowalk,Healthcare,2019,6,Full Maintenance,False,True,False
EQ00057,Greater China,China,Automatic Door,Public / Transport,1996,29,Repair Only,True,True,False
EQ00058,Greater China,China,Escalator,Industrial,2019,6,Basic Maintenance,False,False,False
EQ00059,Greater China,China,Elevator,Commercial,2000,25,Full Maintenance,False,False,True
EQ00060,Greater China,China,Elevator,Commercial,2010,15,Full Maintenance,False,True,False
EQ00061,Greater China,China,Escalator,Residential,2019,6,Full Maintenance,False,True,False
EQ00062,Greater China,China,Elevator,Commercial,2002,23,Full Maintenance,True,False,False
EQ00063,Americas,Canada,Elevator,Healthcare,2002,23,Basic Maintenance,True,False,True
EQ00064,Greater China,China,Escalator,Commercial,2007,18,Basic Maintenance,False,True,False
EQ00065,Greater China,China,Escalator,Public / Transport,2021,4,Full Maintenance,True,False,False
EQ00066,Europe,Germany,Elevator,Residential,1995,30,Basic Maintenance,True,True,False
EQ00067,Greater China,China,Escalator,Residential,2022,3,Full Maintenance,False,False,True
EQ00068,Americas,Mexico,Elevator,Healthcare,1999,26,Basic Maintenance,False,False,True
EQ00069,Greater China,China,Elevator,Residential,2024,1,Basic Maintenance,False,False,False
EQ00070,APMEA,India,Escalator,Residential,2023,2,Full Maintenance,True,True,False
EQ00071,Americas,USA,Elevator,Commercial,2009,16,Full Maintenance,False,False,False
EQ00072,Greater China,China,Elevator,Industrial,2010,15,Basic Maintenance,False,False,False
