call_id,equipment_id,region,country,call_date,year,month,call_type,resolution_hours,first_time_fix,technician_id
C0000001,EQ00001,Greater China,China,2023-01-18,2023,1,Planned Maintenance,2.28,True,T0019
C0000002,EQ00001,Greater China,China,2023-05-27,2023,5,Planned Maintenance,4.5,True,T0138
C0000003,EQ00001,Greater China,China,2023-08-07,2023,8,Planned Maintenance,0.97,True,T0106
C0000004,EQ00001,Greater China,China,2023-11-04,2023,11,Planned Maintenance,1.02,True,T0145
C0000005,EQ00001,Greater China,China,2024-03-18,2024,3,Planned Maintenance,1.36,True,T0031
C0000006,EQ00001,Greater China,China,2024-04-09,2024,4,Planned Maintenance,1.59,True,T0076
C0000007,EQ00001,Greater China,China,2024-09-04,2024,9,Planned Maintenance,0.5,False,T0074
C0000008,EQ00001,Greater China,China,2024-11-07,2024,11,Planned Maintenance,0.5,True,T0028
C0000009,EQ00001,Greater China,China,2025-02-18,2025,2,Planned Maintenance,3.08,True,T0100
C0000010,EQ00001,Greater China,China,2025-05-09,2025,5,Planned Maintenance,11.97,True,T0097
C0000011,EQ00001,Greater China,China,2025-09-19,2025,9,Planned Maintenance,2.81,False,T0116
C0000012,EQ00001,Greater China,China,2025-10-26,2025,10,Planned Maintenance,8.27,True,T0137
C0000013,EQ00002,APMEA,Saudi Arabia,2023-03-14,2023,3,Planned Maintenance,1.85,True,T0012
C0000014,EQ00002,APMEA,Saudi Arabia,2023-05-02,2023,5,Planned Maintenance,2.5,True,T0136
C0000015,EQ00002,APMEA,Saudi Arabia,2023-08-20,2023,8,Planned Maintenance,0.5,False,T0062
C0000016,EQ00002,APMEA,Saudi Arabia,2023-12-06,2023,12,Planned Maintenance,4.48,True,T0055
C0000017,EQ00002,APMEA,Saudi Arabia,2024-03-09,2024,3,Planned Maintenance,3.87,True,T0108
C0000018,EQ00002,APMEA,Saudi Arabia,2024-04-10,2024,4,Planned Maintenance,2.73,True,T0141
C0000019,EQ00002,APMEA,Saudi Arabia,2024-08-08,2024,8,Planned Maintenance,4.32,True,T0081
C0000020,EQ00002,APMEA,Saudi Arabia,2024-12-01,2024,12,Planned Maintenance,0.5,True,T0049
C0000021,EQ00002,APMEA,Saudi Arabia,2024-01-12,2024,1,Breakdown,3.08,True,T0070
C0000022,EQ00002,APMEA,Saudi Arabia,2025-03-25,2025,3,Planned Maintenance,1.31,True,T0162
C0000023,EQ00002,APMEA,Saudi Arabia,2025-05-24,2025,5,Planned Maintenance,7.61,True,T0058
C0000024,EQ00002,APMEA,Saudi Arabia,2025-09-23,2025,9,Planned Maintenance,0.84,True,T0151
C0000025,EQ00002,APMEA,Saudi Arabia,2025-12-16,2025,12,Planned Maintenance,2.93,True,T0194
C0000026,EQ00003,Americas,Brazil,2023-02-15,2023,2,Planned Maintenance,0.52,True,T0140
C0000027,EQ00003,Americas,Brazil,2023-06-07,2023,6,Planned Maintenance,2.88,True,T0049
C0000028,EQ00003,Americas,Brazil,2023-09-16,2023,9,Planned Maintenance,1.11,False,T0126
C0000029,EQ00003,Americas,Brazil,2023-11-26,2023,11,Planned Maintenance,7.0,True,T0047
C0000030,EQ00003,Americas,Brazil,2024-02-22,2024,2,Planned Maintenance,0.85,True,T0136
C0000031,EQ00003,Americas,Brazil,2024-06-02,2024,6,Planned Maintenance,0.9,False,T0028
C0000032,EQ00003,Americas,Brazil,2024-07-08,2024,7,Planned Maintenance,1.76,True,T0050
C0000033,EQ00003,Americas,Brazil,2024-10-17,2024,10,Planned Maintenance,6.79,True,T0127
C0000034,EQ00003,Americas,Brazil,2025-03-12,2025,3,Planned Maintenance,0.5,False,T0187
C0000035,EQ00003,Americas,Brazil,2025-05-11,2025,5,Planned Maintenance,0.5,False,T0133
C0000036,EQ00003,Americas,Brazil,2025-09-22,2025,9,Planned Maintenance,3.39,True,T0087
C0000037,EQ00003,Americas,Brazil,2025-12-02,2025,12,Planned Maintenance,4.54,True,T0136
C0000038,EQ00004,Europe,France,2023-03-27,2023,3,Planned Maintenance,0.5,True,T0130
C0000039,EQ00004,Europe,France,2024-01-04,2024,1,Planned Maintenance,4.76,True,T0124
C0000040,EQ00004,Europe,France,2025-02-11,2025,2,Planned Maintenance,1.19,True,T0165
C0000041,EQ00005,Greater China,China,2023-02-02,2023,2,Planned Maintenance,10.35,True,T0193
C0000042,EQ00005,Greater China,China,2023-09-23,2023,9,Planned Maintenance,7.15,False,T0061
C0000043,EQ00005,Greater China,China,2024-03-26,2024,3,Planned Maintenance,0.5,True,T0140
C0000044,EQ00005,Greater China,China,2024-09-15,2024,9,Planned Maintenance,2.23,True,T0039
C0000045,EQ00005,Greater China,China,2024-10-06,2024,10,Emergency,7.27,False,T0074
C0000046,EQ00005,Greater China,China,2025-03-02,2025,3,Planned Maintenance,4.05,True,T0022
C0000047,EQ00005,Greater China,China,2025-09-19,2025,9,Planned Maintenance,12.32,True,T0070
C0000048,EQ00006,Greater China,China,2023-03-23,2023,3,Planned Maintenance,1.49,True,T0080
C0000049,EQ00006,Greater China,China,2023-05-20,2023,5,Planned Maintenance,1.53,False,T0121
C0000050,EQ00006,Greater China,China,2023-08-21,2023,8,Planned Maintenance,0.5,True,T0135
C0000051,EQ00006,Greater China,China,2023-10-02,2023,10,Planned Maintenance,3.38,True,T0035
C0000052,EQ00006,Greater China,China,2024-03-21,2024,3,Planned Maintenance,0.5,False,T0080
C0000053,EQ00006,Greater China,China,2024-05-23,2024,5,Planned Maintenance,1.43,True,T0055
C0000054,EQ00006,Greater China,China,2024-09-18,2024,9,Planned Maintenance,3.13,True,T0055
C0000055,EQ00006,Greater China,China,2024-12-12,2024,12,Planned Maintenance,7.03,True,T0181
C0000056,EQ00006,Greater China,China,2024-04-03,2024,4,Entrapment,11.96,True,T0004
C0000057,EQ00006,Greater China,China,2025-03-16,2025,3,Planned Maintenance,3.47,True,T0166
C0000058,EQ00006,Greater China,China,2025-06-04,2025,6,Planned Maintenance,1.71,True,T0096
C0000059,EQ00006,Greater China,China,2025-08-22,2025,8,Planned Maintenance,0.5,True,T0181
C0000060,EQ00006,Greater China,China,2025-10-05,2025,10,Planned Maintenance,0.69,True,T0135
C0000061,EQ00007,Greater China,China,2023-01-11,2023,1,Planned Maintenance,3.07,True,T0054
C0000062,EQ00007,Greater China,China,2023-05-27,2023,5,Planned Maintenance,0.5,False,T0122
C0000063,EQ00007,Greater China,China,2023-07-26,2023,7,Planned Maintenance,0.96,True,T0175
C0000064,EQ00007,Greater China,China,2023-10-22,2023,10,Planned Maintenance,0.5,True,T0097
C0000065,EQ00007,Greater China,China,2024-02-09,2024,2,Planned Maintenance,1.17,True,T0008
C0000066,EQ00007,Greater China,China,2024-05-14,2024,5,Planned Maintenance,2.83,True,T0061
C0000067,EQ00007,Greater China,China,2024-07-13,2024,7,Planned Maintenance,9.46,True,T0126
C0000068,EQ00007,Greater China,China,2024-10-24,2024,10,Planned Maintenance,3.12,True,T0172
C0000069,EQ00007,Greater China,China,2025-03-25,2025,3,Planned Maintenance,1.65,True,T0189
C0000070,EQ00007,Greater China,China,2025-05-22,2025,5,Planned Maintenance,3.8,True,T0084
C0000071,EQ00007,Greater China,China,2025-09-01,2025,9,Planned Maintenance,3.46,True,T0093
C0000072,EQ00007,Greater China,China,2025-10-12,2025,10,Planned Maintenance,0.94,True,T0188
C0000073,EQ00008,APMEA,Saudi Arabia,2023-02-09,2023,2,Planned Maintenance,10.15,True,T0048
C0000074,EQ00008,APMEA,Saudi Arabia,2023-05-20,2023,5,Planned Maintenance,5.3,True,T0046
C0000075,EQ00008,APMEA,Saudi Arabia,2023-07-05,2023,7,Planned Maintenance,11.31,True,T0176
C0000076,EQ00008,APMEA,Saudi Arabia,2023-12-19,2023,12,Planned Maintenance,1.25,False,T0087
C0000077,EQ00008,APMEA,Saudi Arabia,2024-01-19,2024,1,Planned Maintenance,0.81,True,T0145
C0000078,EQ00008,APMEA,Saudi Arabia,2024-04-24,2024,4,Planned Maintenance,0.5,True,T0112
C0000079,EQ00008,APMEA,Saudi Arabia,2024-09-03,2024,9,Planned Maintenance,0.5,True,T0098
C0000080,EQ00008,APMEA,Saudi Arabia,2024-11-26,2024,11,Planned Maintenance,2.74,True,T0107
C0000081,EQ00008,APMEA,Saudi Arabia,2025-03-09,2025,3,Planned Maintenance,4.47,True,T0094
C0000082,EQ00008,APMEA,Saudi Arabia,2025-06-26,2025,6,Planned Maintenance,2.75,True,T0056
C0000083,EQ00008,APMEA,Saudi Arabia,2025-07-06,2025,7,Planned Maintenance,18.09,True,T0102
C0000084,EQ00008,APMEA,Saudi Arabia,2025-11-19,2025,11,Planned Maintenance,0.56,True,T0036
C0000085,EQ00008,APMEA,Saudi Arabia,2025-11-19,2025,11,Emergency,1.39,False,T0084
C0000086,EQ00009,Europe,Poland,2023-02-22,2023,2,Planned Maintenance,2.4,True,T0037
C0000087,EQ00009,Europe,Poland,2023-08-27,2023,8,Planned Maintenance,4.74,True,T0060
C0000088,EQ00009,Europe,Poland,2023-09-02,2023,9,Breakdown,0.5,True,T0030
C0000089,EQ00009,Europe,Poland,2023-01-22,2023,1,Emergency,0.92,True,T0040
C0000090,EQ00009,Europe,Poland,2024-03-27,2024,3,Planned Maintenance,0.81,True,T0079
C0000091,EQ00009,Europe,Poland,2024-09-14,2024,9,Planned Maintenance,0.7,True,T0084
C0000092,EQ00009,Europe,Poland,2025-02-25,2025,2,Planned Maintenance,0.58,True,T0102
C0000093,EQ00009,Europe,Poland,2025-09-19,2025,9,Planned Maintenance,5.21,True,T0010
C0000094,EQ00010,Americas,Mexico,2023-03-07,2023,3,Planned Maintenance,0.73,True,T0077
C0000095,EQ00010,Americas,Mexico,2023-05-19,2023,5,Planned Maintenance,3.44,True,T0121
C0000096,EQ00010,Americas,Mexico,2023-08-02,2023,8,Planned Maintenance,0.77,True,T0023
C0000097,EQ00010,Americas,Mexico,2023-11-15,2023,11,Planned Maintenance,0.88,True,T0136
C0000098,EQ00010,Americas,Mexico,2024-02-17,2024,2,Planned Maintenance,0.8,True,T0149
C0000099,EQ00010,Americas,Mexico,2024-04-27,2024,4,Planned Maintenance,0.69,True,T0063
C0000100,EQ00010,Americas,Mexico,2024-07-16,2024,7,Planned Maintenance,0.5,True,T0002
C0000101,EQ00010,Americas,Mexico,2024-10-18,2024,10,Planned Maintenance,1.67,True,T0163
C0000102,EQ00010,Americas,Mexico,2025-01-01,2025,1,Planned Maintenance,4.72,False,T0141
C0000103,EQ00010,Americas,Mexico,2025-05-15,2025,5,Planned Maintenance,0.51,True,T0051
C0000104,EQ00010,Americas,Mexico,2025-09-03,2025,9,Planned Maintenance,0.5,False,T0062
C0000105,EQ00010,Americas,Mexico,2025-11-03,2025,11,Planned Maintenance,1.53,True,T0081
C0000106,EQ00011,Greater China,China,2023-02-02,2023,2,Planned Maintenance,0.65,True,T0106
C0000107,EQ00011,Greater China,China,2023-06-11,2023,6,Planned Maintenance,3.24,False,T0107
C0000108,EQ00011,Greater China,China,2023-07-11,2023,7,Planned Maintenance,4.25,True,T0016
C0000109,EQ00011,Greater China,China,2023-12-13,2023,12,Planned Maintenance,0.85,True,T0043
C0000110,EQ00011,Greater China,China,2024-02-17,2024,2,Planned Maintenance,1.02,True,T0030
C0000111,EQ00011,Greater China,China,2024-06-10,2024,6,Planned Maintenance,4.72,True,T0039
C0000112,EQ00011,Greater China,China,2024-07-03,2024,7,Planned Maintenance,7.58,True,T0166
C0000113,EQ00011,Greater China,China,2024-11-07,2024,11,Planned Maintenance,2.47,True,T0181
C0000114,EQ00011,Greater China,China,2025-02-11,2025,2,Planned Maintenance,4.87,True,T0132
C0000115,EQ00011,Greater China,China,2025-05-11,2025,5,Planned Maintenance,3.74,True,T0003
C0000116,EQ00011,Greater China,China,2025-09-07,2025,9,Planned Maintenance,2.81,True,T0144
C0000117,EQ00011,Greater China,China,2025-12-20,2025,12,Planned Maintenance,2.59,True,T0039
C0000118,EQ00012,APMEA,Australia,2023-03-15,2023,3,Planned Maintenance,6.48,True,T0009
C0000119,EQ00012,APMEA,Australia,2023-04-06,2023,4,Planned Maintenance,0.89,True,T0183
C0000120,EQ00012,APMEA,Australia,2023-08-20,2023,8,Planned Maintenance,1.39,True,T0187
C0000121,EQ00012,APMEA,Australia,2023-12-08,2023,12,Planned Maintenance,8.69,True,T0142
C0000122,EQ00012,APMEA,Australia,2024-01-20,2024,1,Planned Maintenance,3.29,False,T0096
C0000123,EQ00012,APMEA,Australia,2024-05-17,2024,5,Planned Maintenance,0.5,True,T0124
C0000124,EQ00012,APMEA,Australia,2024-09-26,2024,9,Planned Maintenance,0.5,False,T0094
C0000125,EQ00012,APMEA,Australia,2024-12-03,2024,12,Planned Maintenance,5.11,True,T0038
C0000126,EQ00012,APMEA,Australia,2025-01-07,2025,1,Planned Maintenance,9.82,True,T0194
C0000127,EQ00012,APMEA,Australia,2025-04-23,2025,4,Planned Maintenance,2.42,True,T0115
C0000128,EQ00012,APMEA,Australia,2025-08-03,2025,8,Planned Maintenance,0.55,True,T0187
C0000129,EQ00012,APMEA,Australia,2025-12-05,2025,12,Planned Maintenance,0.5,True,T0055
C0000130,EQ00013,Americas,Mexico,2023-01-08,2023,1,Planned Maintenance,1.52,True,T0108
C0000131,EQ00013,Americas,Mexico,2023-09-16,2023,9,Planned Maintenance,4.43,True,T0095
C0000132,EQ00013,Americas,Mexico,2024-01-14,2024,1,Planned Maintenance,2.64,True,T0069
C0000133,EQ00013,Americas,Mexico,2024-09-17,2024,9,Planned Maintenance,2.33,True,T0073
C0000134,EQ00013,Americas,Mexico,2025-01-03,2025,1,Planned Maintenance,3.52,True,T0046
C0000135,EQ00013,Americas,Mexico,2025-09-04,2025,9,Planned Maintenance,2.72,True,T0099
C0000136,EQ00014,Greater China,China,2023-02-26,2023,2,Planned Maintenance,5.98,True,T0011
C0000137,EQ00014,Greater China,China,2023-04-05,2023,4,Planned Maintenance,2.92,True,T0149
C0000138,EQ00014,Greater China,China,2023-08-17,2023,8,Planned Maintenance,5.55,False,T0194
C0000139,EQ00014,Greater China,China,2023-10-17,2023,10,Planned Maintenance,0.5,True,T0193
C0000140,EQ00014,Greater China,China,2024-01-27,2024,1,Planned Maintenance,0.5,True,T0110
C0000141,EQ00014,Greater China,China,2024-05-02,2024,5,Planned Maintenance,0.84,True,T0189
C0000142,EQ00014,Greater China,China,2024-08-18,2024,8,Planned Maintenance,0.55,True,T0086
C0000143,EQ00014,Greater China,China,2024-11-25,2024,11,Planned Maintenance,1.39,True,T0163
C0000144,EQ00014,Greater China,China,2025-02-07,2025,2,Planned Maintenance,5.29,True,T0009
C0000145,EQ00014,Greater China,China,2025-06-14,2025,6,Planned Maintenance,0.5,True,T0112
C0000146,EQ00014,Greater China,China,2025-08-17,2025,8,Planned Maintenance,1.67,True,T0088
